Entity Name
&amp;
&lt;
&gt;
&Agrave;
&Aacute;
&Acirc;
&Atilde;
&Auml;
&Aring;
&AElig;
&Ccedil;
&Egrave;
&Eacute;
&Ecirc;
&Euml;
&Igrave;
&Iacute;
&Icirc;
&Iuml;
&ETH;
&Ntilde;
&Ograve;
&Oacute;
&Ocirc;
&Otilde;
&Ouml;
&Oslash;
&Ugrave;
&Uacute;
&Ucirc;
&Uuml;
&Yacute;
&THORN;
&szlig;
&yuml;
&nbsp;
&iexcl;
&cent;
&pound;
&curren;
&yen;
&brvbar;
&sect;
&uml;
&copy;
&ordf;
&laquo;
&not;
&shy;
&reg;
&macr;
&deg;
&plusmn;
&sup2;
&sup3;
&acute;
&micro;
&para;
&cedil;
&sup1;
&ordm;
&raquo;
&frac14;
&frac12;
&frac34;
&iquest;
&times;
&divide;
&forall;
&part;
&exist;
&empty;
&nabla;
&isin;
&notin;
&ni;
&prod;
&sum;
&minus;
&lowast;
&radic;
&prop;
&infin;
&ang;
&and;
&or;
&cap;
&cup;
&int;
&there4;
&sim;
&cong;
&asymp;
&ne;
&equiv;
&le;
&ge;
&sub;
&sup;
&nsub;
&sube;
&supe;
&oplus;
&otimes;
&perp;
&sdot;
&Alpha;
&Beta;
&Gamma;
&Delta;
&Epsilon;
&Zeta;
&Eta;
&Theta;
&Iota;
&Kappa;
&Lambda;
&Mu;
&Nu;
&Xi;
&Omicron;
&Pi;
&Rho;
&Sigma;
&Tau;
&Upsilon;
&Phi;
&Chi;
&Psi;
&Omega;
&sigmaf;
&thetasym;
&upsih;
&piv;
&OElig;
&Scaron;
&fnof;
&circ;
&tilde;
&ensp;
&emsp;
&thinsp;
&zwnj;
&zwj;
&lrm;
&rlm;
&ndash;
&mdash;
&lsquo;
&rsquo;
&sbquo;
&ldquo;
&rdquo;
&bdquo;
&dagger;
&bull;
&hellip;
&permil;
&prime;
&lsaquo;
&rsaquo;
&oline;
&euro;
&trade;
&larr;
&uarr;
&rarr;
&darr;
&harr;
&crarr;
&lceil;
&rceil;
&lfloor;
&rfloor;
&loz;
&spades;
&clubs;
&hearts;
&diams;
